Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Dec-08;153,8;312,8;166,9;226,2;139,2;228,3;180,4;118,5;212,3;114,5;51,2;81,4;45,6;49,2;109,7;185,5;175,7;197,8;179,9;210,9;101,3;165,4;89,9;258,8;312,1;139,4;173,6;175,1;119,7;85,4;230,5;181;226
Mar-09;146,7;294,1;171,2;187,2;133,2;212,4;172,2;114,4;207,5;109;50,1;72,4;44,6;48;109;182,9;170,4;185;172,1;213;86,6;111,2;79,3;253,5;285;133,6;170,6;167;101,8;76,2;215,8;177;220,5
Jun-09;147,9;290,6;138,6;166,6;135,7;188,8;176,5;120,8;238,2;106,8;50,2;83,9;44,7;47,8;109,1;183,1;175,3;189,7;176,6;287,3;109,1;144,8;96;239,4;300,4;134,2;157,3;170,7;122,9;89;209,2;192,2;255,2
Sep-09;154,7;298,9;133,1;154,7;142,5;185,1;187,5;128,3;269,8;108,6;51,1;97;45,2;49,4;111,7;186,7;182;198,6;191;347,7;134,1;194,9;112,8;250,2;317,3;140,1;162,6;180,1;146,6;103,5;207,8;212,7;290,3
Dec-09;161,8;318,6;127,1;136,6;150,2;176,7;198,7;137,2;286,3;114,1;52,5;102,9;46,2;51,5;115,9;198;194,3;207,3;203,2;377,5;138,6;212,7;117,5;256;335,9;146,2;173,4;190,5;152,3;109,6;212,3;225,6;308,8
Mar-10;167;323,9;128,8;126;155,7;176,7;205,9;146;301,2;120,6;53,1;108,4;46,7;51,7;119,6;201,7;202,7;210,8;212,1;386,8;136,2;234,1;121,5;270,5;335,9;151,8;180;198;165,8;116,1;219,9;236,1;325,2
Jun-10;168,5;317,5;127,8;128,3;157,6;176,3;209,1;144,8;300,9;120,1;53,3;96;46,7;51,6;123;207,2;206,7;211,9;216;354,7;116;224,8;106,3;270;330,7;154,1;187,2;200,8;149,3;103;225,7;236,6;323,2
Sep-10;176,8;335;132,3;131,4;166,1;181,5;221,5;155;313,1;123,6;54,9;106,9;48,1;52,5;132,6;216,5;219,7;225,6;228,2;419,1;138,5;254,4;121,1;283,3;363,8;160;195;212,1;166,2;114,8;241,1;246,4;336,1
Dec-10;187,9;350,1;139,4;136,1;177,5;188,6;237,8;165;328,4;130,1;57,7;118,4;50,1;55,4;145,8;232,2;234,5;239,4;246,5;450;144,8;273,2;132;304,6;392,2;169,3;202,7;227,1;193,2;128,1;252;258,1;353,8
Mar-11;197,3;365;144,7;140,5;187,3;195,7;251;175,8;342,8;136,5;60,6;125,4;51,6;60,6;151,1;240,6;243,5;252,5;262;459,4;154,3;291;138,5;314,9;410,2;177,9;212,8;239,8;208,5;136,3;266,2;269,9;368,3
